Price,Make,Model,Year,Variant,BodyType,EngineSize,Transmission,FuelType,Mileage,Number of Doors,Location,DatePosted,DateNow,CruiseControl,LeatherUpholstery,PushStart,AirConditioning,EntertainmentSystem,Airbag:Driver,Airbag:FrontPassenger,Airbag:Side,Airbag:Curtain,Airbag:Knee,ABS,Immobilizer,SecurityAlarm
"P560,000",Honda,City,2019,E AT,Sedan,,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/28/2024,2024-09-19 19:59:03.505412,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P395,000",Suzuki,Celerio,2020,AT,Hatchback,1,CVT,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/29/2024,2024-09-19 19:59:03.813749,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P760,000",Toyota,Innova,2018,2.8 E Diesel AT,MPV,2.8,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/29/2024,2024-09-19 19:59:04.061305,No,No,No,Manual Air Conditioning,2-DIN CD/Tuner/MP3 through 6 Speakers,Yes,Yes,No,No,Yes,,No,No
"P680,000",Toyota,Vios,2024,XLE 1.3L CVT Gasoline,Sedan,1.3,CVT,Gasoline,"4,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/29/2024,2024-09-19 19:59:04.312594,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P590,000",Suzuki,Ertiga,2019,GL AT,MPV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/30/2024,2024-09-19 19:59:04.611156,No,No,No,Dual Manual Air-conditioning,"4 speaker, 8 inch Touchscreen",Yes,Yes,No,No,No,,Yes,Yes
"P520,000",Toyota,Vios,2018,1.3L AT Gasoline,Sedan,1.3,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/30/2024,2024-09-19 19:59:04.941127,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P635,000",Toyota,Corolla Altis,2018,G 1.6L AT Gasoline,Sedan,1.6,Automatic,Gasoline,"30,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/30/2024,2024-09-19 19:59:05.265383,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P638,000",Toyota,Wigo,2023,1.0 G CVT,Hatchback,1,CVT,Gasoline,"6,000 km",5,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",09/11/2024,2024-09-19 19:59:05.657501,No,No,Yes,Automatic Climate Control,8-inch Display Audio,Yes,Yes,No,No,No,,Yes,Yes
"P520,000",Toyota,Camry,2013,2.5GAT,Sedan,2.5,Automatic,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/13/2024,2024-09-19 19:59:06.103558,No,No,No,Automatic Climate Control,Integrated AM/FM/CD/MP3/AUX/USB,Yes,Yes,No,No,No,,Yes,Yes
"P760,000",Honda,Civic,2017,1.8 E AT,Sedan,1.8,Automatic,Gasoline,"50,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/13/2024,2024-09-19 19:59:06.455950,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P990,000",Ford,Everest,2017,Titanium 4x4 A/T,SUV,3.2,Automatic,Diesel,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/13/2024,2024-09-19 19:59:06.804811,Yes,Yes,No,dual-zone automatic climate control,"SYNC 3 ,AM/FM radio, CD, MP3, Aux and USB, it also comes with Apple CarPlay, Android Auto",Yes,Yes,Yes,Yes,No,No,Yes,Yes
"P520,000",Honda,Mobilio,2016,V 1.5 AT Gasoline,MPV,1.5,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/13/2024,2024-09-19 19:59:07.158176,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P380,000",Suzuki,S-Presso,2021,1.0 MT,Hatchback,1,Manual,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/13/2024,2024-09-19 19:59:07.489929,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,070,000",Nissan,Navara,2022,2.5L AT Diesel,Pickup Truck,2.5,Automatic,Diesel,"20,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/13/2024,2024-09-19 19:59:07.779208,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P575,000",Hyundai,Tucson,2017,GL 2.0L AT Gasoline,Crossover,2.0,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/12/2024,2024-09-19 19:59:08.067380,No,No,No,Manual Air-conditioning,In Dash AM/FM/CD Audio System,Yes,Yes,No,No,No,No,No,No
"P520,000",Suzuki,Ertiga,2020,GA MT,MPV,,Manual,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/12/2024,2024-09-19 19:59:08.341149,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P640,000",Honda,HR-V,2017,1.8 EL,Crossover,1.8,CVT,Gasoline,"12,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/31/2024,2024-09-19 19:59:08.638505,No,No,No,Manual Air Conditioning,In Dash AM/FM/CD Audio System,Yes,Yes,No,No,No,Yes,Yes,Yes
"P515,000",Nissan,Juke,2017,Nstyle 1.6  A/T,Crossover,1.6,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/31/2024,2024-09-19 19:59:08.968573,Yes,No,Yes,Automatic air-con,2 DIN Display Audio with Bluetooth connectivity,Yes,Yes,Yes,No,No,Yes,Yes,Yes
"P555,000",Mitsubishi,Mirage G4,2023,GLX 1.2 AT,Sedan,1.2,Automatic,Gasoline,"16,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/01/2024,2024-09-19 19:59:09.307639,No,No,No,Manual Air-Conditioning,7-inch infotainment system,Yes,Yes,No,No,No,No,Yes,No
"P595,000",Honda,Mobilio,2017,RS AT,MPV,,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/01/2024,2024-09-19 19:59:09.616169,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P555,000",Toyota,Vios,2021,1.3 XLE CVT,Sedan,1.3,CVT,Gasoline,"70,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/01/2024,2024-09-19 19:59:09.901744,No,No,No,"Manual Cooler, Dial Type Control",8in Display Audio via 4-speakers,Yes,Yes,No,No,Yes,,No,Yes
"P355,000",Hyundai,Accent,2016,GL AT,Sedan,1.4,Automatic,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/01/2024,2024-09-19 19:59:10.204131,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P540,000",Honda,CR-V,2013,2.0 S AT,Crossover,2.4,Automatic,Gasoline,"80,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/02/2024,2024-09-19 19:59:10.577682,No,Yes,No,Automatic Climate Control,Integrated AM/FM/CD/MP3/AUX/USB,Yes,Yes,Yes,No,No,,Yes,Yes
"P515,000",Hyundai,Elantra,2019,GL AT,Sedan,1.4,Automatic,Gasoline,"30,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/02/2024,2024-09-19 19:59:10.970369,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P960,000",Ford,Everest,2016,Titanium Plus 4x4 A/T,SUV,3.2,Automatic,Diesel,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/02/2024,2024-09-19 19:59:11.960086,Yes,Yes,No,dual-zone automatic climate control,"SYNC 3 ,AM/FM radio, CD, MP3, Aux and USB, it also comes with Apple CarPlay, Android Auto",Yes,Yes,Yes,Yes,No,No,Yes,Yes
"P470,000",Kia,Sportage,2013,2.0 EX CRDi,Crossover,2,Automatic,Diesel,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/02/2024,2024-09-19 19:59:12.472159,No,No,No,Manual Airconditioning,Integrated AM/FM/CD/MP3/AUX/USB,Yes,Yes,No,No,No,,Yes,Yes
"P520,000",Toyota,Vios XLE,2020,1.3L AT Gasoline,Sedan,1.3,Automatic,Gasoline,"30,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/03/2024,2024-09-19 19:59:13.239709,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P905,000",Ford,Territory,2022,Titanium 1.5 AT,Crossover,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:13.522594,Yes,Yes,No,Automatic Climate Control,"10-inch touchscreen display,infotainment system",Yes,Yes,Yes,Yes,No,No,No,No
"P390,000",Ford,EcoSport,2016,1.5L Titanium AT,Crossover,1.5,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:13.836270,No,No,No,Manual Air-conditioning,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,No,No,No
"P675,000",Honda,BR-V,2019,1.5 S CVT,Crossover,1.5,CVT,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:14.124492,No,No,No,Manual Air-Conditioning with Rear Independent Controls,7-inch Capacitive Touchscreen Display Audio with Bluetooth and USB via 4 speakers,Yes,Yes,No,No,No,,Yes,Yes
"P1,690,000",Toyota,FJ Cruiser,2016,4.0L AT Gasoline,SUV,4.0,Automatic,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:14.425814,No,No,No,Manual Air-conditioning,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,,Yes,Yes
"P895,000",Toyota,Raize,2022,1.0 Turbo A/T,SUV,1,Automatic,Gasoline,"20,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:14.756499,No,No,Yes,Automatic Climate Control,8-inch infotainment system with 6-speaker sound system,Yes,Yes,No,No,No,Yes,Yes,No
"P615,000",Suzuki,Ertiga,2019,GL 1.5 AT Black Edition,MPV,1.5,Automatic,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:15.055907,No,No,No,Manual Air Conditioning with Rear Manual Control,8-inch Multimedia Audio Touchscreen via 4 speakers,Yes,Yes,No,No,No,,Yes,Yes
"P555,000",Honda,Brio,2021,1.2L AT Gasoline,Hatchback,1.2,Automatic,Gasoline,"6,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:15.358519,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P480,000",Kia,Carens,2014,1.7L EX AT,MPV,1.7,Automatic,Diesel,"80,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/12/2024,2024-09-19 19:59:15.690345,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P560,000",Toyota,Innova,2014,G 2.0 Gas AT,MPV,2,Automatic,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:16.010179,No,No,No,Dual Automatic Climate Control,"Fujitsu-Ten 2-DIN CD/Tuner/MP3 with USB and Aux Input, 6 Speakers",Yes,Yes,No,No,No,Yes,Yes,Yes
"P620,000",Toyota,Avanza,2019,1.3 E AT,MPV,1.3,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:16.329890,No,No,No,Manual Air Conditioning,n/a,Yes,Yes,No,No,No,Yes,Yes,Yes
"P640,000",Honda,BR-V,2017,1.5 V AT,Crossover,1.5,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:16.650708,No,Yes,Yes,Automatic Climate Control,n/a,Yes,Yes,No,No,No,,Yes,Yes
"P935,000",Toyota,Fortuner,2017,G 2.7L AT Gasoline,SUV,2.7,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:17.020048,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,150,000",Ford,Territory,2024,1.5L AT Gasoline,SUV,1.5,Automatic,Gasoline,"17,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:17.330636,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,005,000",Toyota,Fortuner,2016,2.4L G AT Diesel,SUV,2.4,Automatic,Diesel,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:18.534437,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P920,000",Hyundai,Grand Starex,2019,2.5L AT Diesel,Van,2.5,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:18.835826,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P595,000",Honda,HR-V,2015,1.8 E AT,Crossover,1.8,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:19.144575,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P710,000",Toyota,Avanza,2021,1.5L AT Gasoline,SUV,1.5,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:19.423579,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P520,000",Honda,Mobilio,2016,1.5L AT Gasoline,MPV,1.5,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:19.672701,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P565,000",Suzuki,Ertiga,2019,GL AT,MPV,1.5,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:19.972006,No,No,No,Dual Manual Air-conditioning,"4 speaker, 8 inch Touchscreen",Yes,Yes,No,No,No,,Yes,Yes
"P520,000",Honda,Brio,2019,1.2 V CVT,Hatchback,1.2,CVT,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/11/2024,2024-09-19 19:59:20.268722,No,No,No,Manual Air Conditioning,"7-inch Capacitive Touchscreen Audio with Bluetooth, Audio Streaming, and USB via 4 speakers",Yes,Yes,No,No,No,,Yes,Yes
"P550,000",Honda,City,2018,1.5 AT Gasoline,Sedan,1.5,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/03/2024,2024-09-19 19:59:20.639098,No,No,No,Manual Air-conditioning,7-inch touchscreen DVD/CD and 4 Speakers,Yes,Yes,No,No,No,Yes,Yes,Yes
"P380,000",Chevrolet,Trax,2016,1.4LS AT,Crossover,1.4,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/03/2024,2024-09-19 19:59:21.058551,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P340,000",Chevrolet,Sail,2019,1.5 LT AT,Sedan,1.5,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/03/2024,2024-09-19 19:59:21.452017,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P595,000",Honda,Brio,2022,S 1.2L AT Gasoline,Hatchback,1.2,Automatic,Gasoline,"30,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/03/2024,2024-09-19 19:59:21.894573,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P810,000",Chevrolet,Trailblazer,2019,2.8L AT Diesel,SUV,2.8,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/04/2024,2024-09-19 19:59:22.240716,No,No,No,Manual Airconditioning,NAVI-Ready Display Audio AM/FM/CD/MP3/USB/Aux,Yes,Yes,No,No,No,No,No,No
"P530,000",Ford,EcoSport,2019,1.5 Trend AT,Crossover,1.5,Automatic,Gasoline,"15,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/04/2024,2024-09-19 19:59:22.667042,No,No,No,Manual Temperature Control,9-inch Colored Touchscreen via 4 speakers,Yes,Yes,Yes,No,No,,Yes,No
"P620,000",Mitsubishi,Montero Sport,2014,2.4L GLX AT Diesel,SUV,2.4,Automatic,Diesel,"70,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/05/2024,2024-09-19 19:59:22.993062,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P855,000",Toyota,Innova,2019,E 2.8L AT Diesel,MPV,,Automatic,Diesel,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/05/2024,2024-09-19 19:59:23.270840,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,020,000",Toyota,Fortuner,2016,2.4L G AT Diesel,SUV,2.4,Automatic,Diesel,"70,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/05/2024,2024-09-19 19:59:23.585598,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P620,000",Chevrolet,Trailblazer,2016,LT 4x2 A/T,SUV,2.8,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/05/2024,2024-09-19 19:59:23.888797,No,No,No,Manual Climate Control,"Integrated 2DIN Audio,FM/AM/Radio",Yes,Yes,No,No,No,,Yes,Yes
"P475,000",Toyota,Altis,2014,1.6L AT Gasoline,Sedan,1.6,Automatic,Gasoline,"60,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/10/2024,2024-09-19 19:59:24.231030,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P555,000",Hyundai,Santa Fe,2013,AT,SUV,,Automatic,Diesel,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/10/2024,2024-09-19 19:59:24.726457,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P465,000",Honda,City,2016,E AT Gasoline,Sedan,1.5,Automatic,Gasoline,"50,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/10/2024,2024-09-19 19:59:25.037652,No,No,No,Manual Air-Conditioning,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,No,No,No
"P499,000",Mazda,3,2014,2.0L AT,Sedan,2,Automatic,Gasoline,"74,950 km",4,"General Trias City, Cavite, CALABARZON",09/10/2024,2024-09-19 19:59:25.373662,Yes,No,No,Automatic Dual-Zone Climate Control with Rear Vents,10.25-inch Mazda Connect LCD Display with 12-Speaker BOSE Sound System,Yes,Yes,Yes,Yes,Yes,,Yes,Yes
"P560,000",Honda,Brio,2019,RS AT,Hatchback,1.2,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/06/2024,2024-09-19 19:59:25.699568,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P270,000",Suzuki,Celerio,2018,1.0 MT,Hatchback,1,Manual,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/06/2024,2024-09-19 19:59:26.041474,No,No,No,Manual Air-Conditioning,Touchscreen Audio Unit,Yes,Yes,No,No,No,,Yes,No
"P520,000",Nissan,Juke,2017,Nstyle 1.6  A/T,Crossover,1.6,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/06/2024,2024-09-19 19:59:26.377815,Yes,No,Yes,Automatic air-con,2 DIN Display Audio with Bluetooth connectivity,Yes,Yes,Yes,No,No,Yes,Yes,Yes
"P505,000",Kia,Sportage,2014,LX 4x2 AT,Crossover,2.0,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/06/2024,2024-09-19 19:59:26.788915,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P630,000",Mazda,CX-5,2016,SkyActiv,Crossover,2,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/06/2024,2024-09-19 19:59:27.131866,No,No,No,Automatic Airconditioning,NAVI-Ready Display Audio AM/FM/MP3,Yes,Yes,No,No,No,No,No,No
"P1,258,000",Toyota,Fortuner,2018,V 2.4L AT Diesel,SUV,2.4,Automatic,Diesel,"67,000 km",5,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",01/26/2024,2024-09-19 19:59:27.994334,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P450,000",Toyota,Vios,2019,1.3 J MT,Sedan,1.3,Manual,Gasoline,"30,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/09/2024,2024-09-19 19:59:28.315792,No,No,No,"Manual Cooler, Dial Type Control",2 DIN with CD and MP3 via 2 Speakers,Yes,Yes,No,No,Yes,,No,No
"P480,000",Honda,Brio,2015,Amaze 1.3 AT,Sedan,1.3,Automatic,Gasoline,"52,000 km",4,"Pasay City, Metro Manila, NCR",09/09/2024,2024-09-19 19:59:29.706956,No,No,No,Manual Air Conditioning,2-DIN Honda DVD Navigation System with CD/DVD and 4 Speakers.,Yes,Yes,No,No,No,,Yes,Yes
"P480,000",Honda,Mobilio,2015,V A/T,MPV,1.5,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/09/2024,2024-09-19 19:59:30.044547,No,No,No,Dual Manual Aircon,n/a,Yes,Yes,No,No,No,,Yes,Yes
"P1,458,000",Mazda,BT-50,2019,2.2 4x2 AT,Pickup Truck,2.2,Automatic,Diesel,"14,000 km",4,"Pasig City, Metro Manila, NCR",07/16/2024,2024-09-19 19:59:30.362648,Yes,Yes,No,Auto Climate Control,MP3 Compatible Audio/CD Player,Yes,Yes,Yes,No,No,,Yes,No
"P815,000",Toyota,Avanza,2022,1.3 E CVT,MPV,1.3,CVT,Gasoline,"21,000 km",5,"Pasig City, Metro Manila, NCR",07/11/2024,2024-09-19 19:59:30.756672,No,No,No,Manual (Digital COntrol),8-inch Audio Display with 4 speakers,Yes,Yes,No,No,No,,Yes,Yes
"P505,000",Mazda,3,2016,1.5 SkyActiv A/T,Hatchback,1.5,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/07/2024,2024-09-19 19:59:31.161901,No,No,Yes,Electronic Automatic 1-Zone Temperature Control,"7-inch Touchscreen LCD, Single-DVD Player, MP3 w/ 6 speakers",Yes,Yes,Yes,Yes,No,,Yes,No
"P610,000",Honda,City,2019,VX AT,Sedan,1.5,Automatic,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/08/2024,2024-09-19 19:59:31.601140,Yes,No,No,Automatic Climate Control,"Integrated (in-dash) Music System, Touch-screen Display",No,No,No,No,No,,Yes,No
"P590,000",Suzuki,Vitara,2019,1.6 AT,Crossover,1.6,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/08/2024,2024-09-19 19:59:32.016868,Yes,No,Yes,Auto Climate Control,"MP3 Compatible Audio/CD Player,Apple Car Play,Sound System with 4 Speakers",Yes,Yes,Yes,No,Yes,,Yes,No
"P3,050,000",Toyota,Alphard,2018,AT Hybrid,Van,3.5,Automatic,Gasoline,"20,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",02/02/2024,2024-09-19 19:59:32.433373,No,No,No,Automatic air-conditioning,NAVI-Ready Display Audio AM/FM/CD/MP3/USB/Aux,Yes,Yes,No,No,No,No,No,No
"P560,000",Honda,Mobilio,2016,RS AT,MPV,1.5,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",02/09/2024,2024-09-19 19:59:33.269407,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
