JobTitle,Company,Location,is_remote,Salary,Benefits,listing_date,date_parsed,URL
Senior Data Engineer/ Developer,OutForce Inc.,Metro Manila,N,,,9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78150902?type=standout&ref=search-standalone
Associate Data Scientist (SQL and Python) | Night Shift | WFH | Day 1 HMO,Emapta,Metro Manila,N,,,16d ago,2024-08-25,https://www.jobstreet.com.ph/job/77993298?type=standard&ref=search-standalone
"Senior Manager, Digital Analytics (Asia)","Sun Life of Canada (Philippines), Inc.",Bonifacio Global City,N,,"['Great Place To Work Certified', 'Competitive Compensation and Benefits', 'Flexible Work Arrangement']",3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78310019?type=standout&ref=search-standalone
Data Engineer,I2S BusinessSolutions Inc.,Quezon City,N,"₱80,000 – ₱100,000 per month",,6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78199545?type=standard&ref=search-standalone
Data Scientist | Permanent WFH |  Day 1 HMO | Night Shift,Emapta,Makati City,N,,"['Day 1 HMO coverage, Competitive Package', 'Open to WFH arrangement, Prime office location', 'Mentorship from global leaders, Upskilling through Emapta Academy']",16d ago,2024-08-25,https://www.jobstreet.com.ph/job/77991060?type=standout&ref=search-standalone
Senior Data Engineer - ETL (Talend and Python),"Novare Technologies, Inc.",Taguig City,N,,"['Employee Educational Assistance Benefits', 'Hybrid Work Set-up', 'Day-Shift']",10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78124213?type=standout&ref=search-standalone
IT Data and Analytics Manager,Private Advertiser,Makati City,N,,,7d ago,2024-08-25,https://www.jobstreet.com.ph/job/78189630?type=standout&ref=search-standalone
Business Intelligence Manager - RTO,Concentrix Philippines,Makati City,N,,,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78315918?type=standard&ref=search-standalone
"Zoom: Data Analyst (Remote, Night Shift)",KMC Solutions,Metro Manila,Y,,,6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78226480?type=standout&ref=search-standalone
Software Engineer – AI/Machine Learning Developer (work-from-home),"Nelnet Philippines, Inc.",Metro Manila,Y,,"['Opportunity for diversification and growth', 'Culture of professionalism, empowerment, and client orientation', 'Work-from-home / Remote anywhere in the Philippines']",3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78315781?type=standout&ref=search-standalone
Legal Senior Project Analyst (1-year contract),Arcadis Consulting Middle East Limited,Makati City,N,,,6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78228867?type=standout&ref=search-standalone
Data Platform Engineer (Data Modeling Techniques and Methodologies),Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78311731?type=standard&ref=search-standalone
Data Engineer,Your Employee Offshore ( Yempo ) Inc.,Makati City,Y,"₱80,000 – ₱100,000 per month","['Work life Balance', 'Work Life Balance', 'Performance Bonus and Annual Salary Review']",11d ago,2024-08-25,https://www.jobstreet.com.ph/job/78083270?type=standout&ref=search-standalone
Data Platform Engineer (Data Modeling),Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78311733?type=standard&ref=search-standalone
Data Engineer,HR Network Inc.,Calamba City,N,,,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78244958?type=standard&ref=search-standalone
Data Analyst,InLife Health Care,Makati City,N,,"['Hybrid Work Arrangament', 'Competitive Benefits']",5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78242828?type=standout&ref=search-standalone
Advanced Analytics Manager,Manulife Business Processing Services (MBPS),Quezon City,N,,"['Competitive Salary and Benefits Package', 'Award-winning Employer', 'Day 1 HMO + Up to 5 FREE Dependents']",9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78148023?type=standout&ref=search-standalone
